cartodb_id;address_id;the_geom;the_geom_webmercator;code;status;postalcode;street;housenr;housenrext;city;rooms;price;priceext;sale_type;type;area;lotsize;volume;yearofconstruction;listedsince;dateofsale;broker
747000;0307200000481423;010100002040710000DF4F8D9786200341B4C8763E59541C41;0101000020110F0000F52D1F1AA162224182AA08C2060E5A41;40523288;Verkocht;3815LL;Trekvogelweg;375;2;Amersfoort;NULL;15000;k.k.;VK;NULL;18;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
748905;0307200000491050;0101000020407100005C8FC2F59E18034114AE47E1273C1C41;0101000020110F00003B480E80685F22410BF1DD7C8F0B5A41;40524595;Verkocht;3816CH;Ringweg-Randenbroek;16;a;Amersfoort;2;139500;k.k.;VK;1;44;NULL;NULL;NULL;2016-11-29;NULL;Drenth Makelaars - Makelaardij in Amersfoort
3763073;NULL;NULL;NULL;40524969;Verkocht;3816CJ;Ringweg-Randenbroek;34;a;Amersfoort;3;175000;k.k.;VK;NULL;68;NULL;NULL;NULL;2016-11-29;NULL;Nationaal Makelaars Collectief Amersfoort (Namaco)
2949502;NULL;NULL;NULL;40529659;Verkocht;3817ZJ;Réaumurstraat;9;b;Amersfoort;3;189500;k.k.;VK;NULL;66;NULL;NULL;NULL;2016-11-29;NULL;Hendriks Makelaardij Amersfoort
3816073;NULL;NULL;NULL;40534891;Verkocht;3825WX;Egeïsche Zee;2;c;Amersfoort;3;285000;k.k.;VK;NULL;107;140;NULL;NULL;2016-11-29;NULL;Snel ERA makelaars
2954108;NULL;NULL;NULL;40539314;Verkocht;3817ES;Lambert Heijnricsstraat;16;c;Amersfoort;3;150000;k.k.;VK;NULL;57;NULL;NULL;NULL;2016-11-29;NULL;Succesmakelaars & financieel adviseurs
2921817;NULL;NULL;NULL;40540423;Verkocht;3817CA;Arnhemseweg;39;a;Amersfoort;2;160000;k.k.;VK;NULL;40;NULL;NULL;NULL;2016-11-29;NULL;Govaert Makelaardij Verhuur & Beheer
3814284;NULL;NULL;NULL;40544039;Verkocht;3818TE;Surinamelaan;69;b;Amersfoort;4;175000;k.k.;VK;NULL;68;NULL;NULL;NULL;2016-11-29;NULL;Woonvast Makelaars
3766294;NULL;NULL;NULL;40546451;Verkocht;3816PJ;Alphons Diepenbrockstraat;9;b;Amersfoort;4;177500;k.k.;VK;NULL;76;NULL;NULL;NULL;2016-11-29;NULL;Jan Huisman Makelaardij o.z. & Hypotheken
3968318;NULL;NULL;NULL;40546663;Verkocht;3818NA;Joannes Tolliusstraat;3;a;Amersfoort;4;499000;k.k.;VK;NULL;134;70;NULL;NULL;2016-11-29;NULL;Vlaming Makelaardij
4802191;NULL;NULL;NULL;40548368;Verkocht;3812DC;Noordewierweg;99;a;Amersfoort;2;185000;k.k.;VK;NULL;68;NULL;NULL;NULL;2016-11-29;NULL;De Ruiter Makelaarshuis BV
3766047;NULL;NULL;NULL;40551199;Verkocht;3817HD;Everard Meysterweg;12;15;Amersfoort;NULL;8000;v.o.n.;VK;NULL;NULL;NULL;NULL;NULL;2016-11-29;NULL;Govaert Makelaardij Verhuur & Beheer
737356;0307200000431291;01010000204071000048E17A1438D90241AE47E17AE7431C41;0101000020110F0000278D104AA0452241557F2BBB590C5A41;40555034;Verkocht;3812CA;Puntenburgerlaan;5;f;Amersfoort;3;300000;k.k.;VK;1;90;NULL;NULL;NULL;2016-11-29;NULL;JOOST Makelaars
